Pressure (kg/cm2),Time (sec),Time_Stamp
0.16,0.04,14:36:14.894
0.17,0.06,14:36:14.907
0.16,0.08,14:36:14.934
0.19,0.10,14:36:14.947
0.55,0.12,14:36:14.967
1.07,0.14,14:36:14.991
1.28,0.16,14:36:15.008
1.76,0.18,14:36:15.034
2.07,0.21,14:36:15.058
2.18,0.22,14:36:15.076
2.25,0.24,14:36:15.087
2.38,0.25,14:36:15.098
2.46,0.26,14:36:15.110
2.44,0.27,14:36:15.122
2.56,0.28,14:36:15.132
2.56,0.30,14:36:15.152
2.65,0.31,14:36:15.162
2.61,0.32,14:36:15.174
2.70,0.33,14:36:15.185
2.72,0.34,14:36:15.196
2.67,0.36,14:36:15.207
2.72,0.37,14:36:15.217
2.68,0.38,14:36:15.228
2.70,0.39,14:36:15.240
2.77,0.40,14:36:15.251
2.70,0.41,14:36:15.263
2.70,0.42,14:36:15.274
2.75,0.43,14:36:15.284
2.74,0.44,14:36:15.296
2.72,0.46,14:36:15.308
2.78,0.47,14:36:15.319
2.70,0.48,14:36:15.330
2.83,0.49,14:36:15.342
2.79,0.50,14:36:15.355
2.78,0.51,14:36:15.365
2.72,0.52,14:36:15.376
2.77,0.54,14:36:15.388
2.79,0.55,14:36:15.399
2.74,0.56,14:36:15.412
2.82,0.57,14:36:15.423
2.75,0.58,14:36:15.434
2.82,0.59,14:36:15.445
2.82,0.61,14:36:15.457
2.78,0.62,14:36:15.467
2.82,0.63,14:36:15.477
2.78,0.64,14:36:15.488
2.84,0.65,14:36:15.499
2.76,0.66,14:36:15.510
2.74,0.67,14:36:15.522
2.84,0.68,14:36:15.533
2.81,0.69,14:36:15.543
2.90,0.71,14:36:15.557
2.76,0.72,14:36:15.568
2.76,0.73,14:36:15.580
2.76,0.74,14:36:15.590
2.87,0.75,14:36:15.600
2.77,0.76,14:36:15.612
2.79,0.77,14:36:15.623
2.80,0.78,14:36:15.634
2.76,0.79,14:36:15.644
2.78,0.81,14:36:15.657
2.76,0.82,14:36:15.669
2.79,0.83,14:36:15.682
2.76,0.84,14:36:15.693
2.78,0.85,14:36:15.704
2.72,0.86,14:36:15.715
2.84,0.87,14:36:15.726
2.76,0.88,14:36:15.736
2.82,0.90,14:36:15.747
2.79,0.91,14:36:15.757
2.83,0.92,14:36:15.768
2.87,0.93,14:36:15.779
2.77,0.94,14:36:15.789
2.85,0.95,14:36:15.800
2.78,0.96,14:36:15.810
2.76,0.97,14:36:15.820
2.86,0.98,14:36:15.830
2.78,0.99,14:36:15.841
2.76,1.00,14:36:15.851
2.82,1.01,14:36:15.861
2.78,1.02,14:36:15.872
2.82,1.03,14:36:15.883
2.76,1.04,14:36:15.893
2.77,1.05,14:36:15.903
2.82,1.06,14:36:15.913
2.76,1.07,14:36:15.923
2.74,1.08,14:36:15.933
2.76,1.09,14:36:15.944
2.75,1.10,14:36:15.955
2.81,1.11,14:36:15.965
2.77,1.12,14:36:15.975
2.77,1.13,14:36:15.985
2.85,1.14,14:36:15.995
2.80,1.15,14:36:16.005
2.78,1.16,14:36:16.015
2.74,1.17,14:36:16.025
2.83,1.18,14:36:16.036
2.74,1.19,14:36:16.046
2.81,1.21,14:36:16.057
2.74,1.22,14:36:16.068
2.80,1.23,14:36:16.079
2.80,1.24,14:36:16.090
2.76,1.25,14:36:16.101
2.79,1.26,14:36:16.111
2.80,1.27,14:36:16.121
2.82,1.28,14:36:16.131
2.75,1.29,14:36:16.142
2.80,1.30,14:36:16.152
2.77,1.31,14:36:16.162
2.78,1.32,14:36:16.172
2.77,1.33,14:36:16.184
2.80,1.34,14:36:16.194
2.75,1.35,14:36:16.205
2.75,1.36,14:36:16.215
2.80,1.37,14:36:16.226
2.74,1.39,14:36:16.237
2.76,1.40,14:36:16.248
2.82,1.41,14:36:16.259
2.75,1.42,14:36:16.270
2.81,1.43,14:36:16.281
2.80,1.44,14:36:16.292
2.76,1.45,14:36:16.303
2.74,1.46,14:36:16.313
2.74,1.47,14:36:16.325
2.79,1.48,14:36:16.336
2.79,1.50,14:36:16.347
2.81,1.51,14:36:16.357
2.80,1.52,14:36:16.367
2.74,1.53,14:36:16.377
2.77,1.54,14:36:16.389
2.80,1.55,14:36:16.400
2.76,1.56,14:36:16.410
2.76,1.57,14:36:16.420
2.81,1.58,14:36:16.430
2.76,1.59,14:36:16.440
2.75,1.60,14:36:16.451
2.80,1.61,14:36:16.462
2.75,1.62,14:36:16.472
2.80,1.63,14:36:16.482
2.74,1.64,14:36:16.494
2.73,1.65,14:36:16.505
2.80,1.66,14:36:16.516
2.75,1.68,14:36:16.527
2.84,1.69,14:36:16.537
2.76,1.70,14:36:16.548
2.75,1.71,14:36:16.558
2.82,1.72,14:36:16.569
2.81,1.73,14:36:16.580
2.75,1.74,14:36:16.590
2.74,1.75,14:36:16.601
2.83,1.76,14:36:16.611
2.78,1.77,14:36:16.623
2.80,1.78,14:36:16.633
2.75,1.79,14:36:16.643
2.78,1.80,14:36:16.655
2.81,1.81,14:36:16.666
2.75,1.83,14:36:16.677
2.74,1.84,14:36:16.690
2.82,1.85,14:36:16.700
2.81,1.86,14:36:16.712
2.76,1.87,14:36:16.723
2.73,1.88,14:36:16.733
2.77,1.89,14:36:16.744
2.80,1.90,14:36:16.755
2.74,1.91,14:36:16.766
2.80,1.93,14:36:16.777
2.74,1.94,14:36:16.788
2.81,1.95,14:36:16.798
2.80,1.96,14:36:16.810
2.74,1.97,14:36:16.821
2.80,1.98,14:36:16.831
2.82,1.99,14:36:16.841
2.74,2.00,14:36:16.852
2.77,2.01,14:36:16.863
2.78,2.02,14:36:16.874
2.82,2.03,14:36:16.884
2.78,2.04,14:36:16.894
2.73,2.05,14:36:16.904
2.82,2.06,14:36:16.915
2.74,2.07,14:36:16.925
2.75,2.08,14:36:16.936
2.75,2.10,14:36:16.947
2.83,2.11,14:36:16.961
2.76,2.12,14:36:16.971
2.75,2.13,14:36:16.981
2.78,2.14,14:36:16.992
2.74,2.15,14:36:17.002
2.81,2.16,14:36:17.013
2.79,2.17,14:36:17.024
2.83,2.18,14:36:17.034
2.81,2.19,14:36:17.044
2.74,2.20,14:36:17.054
2.81,2.21,14:36:17.064
2.74,2.22,14:36:17.075
2.82,2.23,14:36:17.086
2.74,2.25,14:36:17.097
2.81,2.26,14:36:17.108
2.74,2.27,14:36:17.119
2.81,2.28,14:36:17.129
2.73,2.29,14:36:17.140
2.80,2.30,14:36:17.150
2.74,2.31,14:36:17.162
2.79,2.32,14:36:17.174
2.74,2.33,14:36:17.186
2.75,2.35,14:36:17.198
2.74,2.36,14:36:17.209
2.73,2.37,14:36:17.221
2.82,2.38,14:36:17.233
2.80,2.40,14:36:17.254
2.76,2.41,14:36:17.266
2.75,2.43,14:36:17.278
2.74,2.44,14:36:17.290
2.82,2.45,14:36:17.306
2.83,2.47,14:36:17.318
2.72,2.48,14:36:17.330
2.74,2.49,14:36:17.342
2.75,2.50,14:36:17.352
2.73,2.51,14:36:17.364
2.75,2.53,14:36:17.378
2.75,2.54,14:36:17.391
2.73,2.55,14:36:17.403
2.76,2.56,14:36:17.415
2.74,2.58,14:36:17.427
2.77,2.59,14:36:17.439
2.79,2.60,14:36:17.450
2.79,2.61,14:36:17.462
2.82,2.62,14:36:17.475
2.81,2.64,14:36:17.487
2.75,2.65,14:36:17.498
2.72,2.66,14:36:17.511
2.75,2.67,14:36:17.522
2.76,2.68,14:36:17.534
2.78,2.69,14:36:17.545
2.80,2.71,14:36:17.557
2.79,2.72,14:36:17.567
2.75,2.73,14:36:17.580
2.79,2.74,14:36:17.591
2.75,2.75,14:36:17.602
2.72,2.76,14:36:17.612
2.80,2.77,14:36:17.626
2.79,2.79,14:36:17.638
2.80,2.80,14:36:17.655
2.79,2.82,14:36:17.668
2.79,2.83,14:36:17.679
2.72,2.84,14:36:17.691
2.72,2.85,14:36:17.703
2.82,2.86,14:36:17.713
2.78,2.87,14:36:17.726
2.82,2.89,14:36:17.739
2.80,2.90,14:36:17.750
2.71,2.91,14:36:17.762
2.79,2.92,14:36:17.774
2.68,2.93,14:36:17.786
2.78,2.95,14:36:17.800
2.76,2.96,14:36:17.813
2.79,2.97,14:36:17.824
2.75,2.99,14:36:17.837
2.72,3.00,14:36:17.851
2.82,3.01,14:36:17.864
